389, 18246, 1186
410, -18643, 1203
430, -290, 1041
451, -26819, 862
472, 536, 762
492, 6341, 714
513, -2390, 625
533, -11823, 512
554, 21187, 381
574, -10965, 381
595, -780, 847
615, -25724, 876
636, -23611, 633
656, -32336, 462
677, 8520, 296
697, -27601, 660
718, 28210, 1199
739, 32065, 1403
759, -19342, 1312
780, -20419, 1119
800, -21960, 1166
821, 391, 1399
841, 20236, 1527
862, 4088, 1475
1026, 19134, 1333
1047, 31140, 1386
1067, 2591, 1275
1088, -14765, 1161
1108, -15832, 1086
1129, -23240, 1091
1150, 19354, 1166
1170, -5503, 1263
1191, 30213, 1267
1211, -16776, 1178
1232, 24047, 1108
1252, -3728, 1064
1355, -7315, 810
1376, 18248, 759
1396, -17746, 743
1417, 21946, 734
1437, -10935, 735
1458, 5129, 767
1479, -19946, 820
1499, -28944, 862
1520, 2917, 886
1541, 9767, 915
1561, -19483, 975
1582, -8935, 1079
1602, 7618, 1226
1623, -21585, 1477
1644, 29796, 1659
1664, 5296, 1493
1685, -3294, 1246
1706, -14375, 1074
1726, -434, 914
1747, -11575, 966
1768, 30673, 1089
1788, -10388, 1057
1871, -29696, 869
1892, 28154, 826
1912, 14516, 790
1933, 30953, 719
1954, -23472, 696
1974, 17624, 726
1995, 14389, 765
2016, -29455, 811
2036, 27136, 877
2057, 2619, 939
2078, -32593, 996
2099, -31368, 1102
2119, 29572, 1252
2140, -13677, 1368
2161, -6631, 1381
2182, -9055, 1533
2202, 5653, 1438
2223, -31672, 1218
2243, 823, 1058
2264, 27357, 1020
2285, 827, 1145
2305, 19660, 1238
2326, -11585, 1120
2347, 13981, 966
2388, -4688, 912
2409, -1739, 893
2430, -7491, 797
2451, 10042, 725
2472, 11213, 676
2493, -5275, 656
2513, 27496, 681
2534, 13026, 728
2555, 16873, 788
2576, -20440, 851
2596, -30028, 913
2617, -5995, 975
2638, -29781, 1080
2658, 5917, 1214
2679, -29063, 1264
2700, 21358, 1259
2721, 27109, 1504
2742, 3454, 1606
2763, -6821, 944
2784, 14920, 798
2805, -28318, 840
2826, -6948, 1044
2846, -17491, 1159
2867, -28791, 1136
2888, 17596, 1098
2909, 2408, 1041
2930, 2012, 960
2951, -26925, 871
2972, 31000, 773
2993, -28248, 714
3013, -13689, 732
3034, 4673, 764
3055, 29975, 790
3076, 6914, 844
3097, 22550, 874
3118, -6082, 873
3138, -17722, 932
3159, -12928, 1064
3180, -2977, 1195
3201, 10116, 1301
3222, -13346, 1318
3243, 17711, 1630
3263, 409, 1596
3284, 10935, 1269
3305, -26418, 1021
3326, 6890, 948
3347, 32065, 1087
3368, 26407, 1253
3389, -17293, 1253
3410, -8730, 1126
3430, -11317, 1048
3514, 6486, 803
3535, 10482, 764
3556, 5405, 753
3577, 25200, 741
3598, -21679, 722
3618, -32704, 750
3639, 6890, 830
3660, 2598, 878
3681, 11105, 887
3702, -11235, 895
3723, 21341, 999
3744, 16235, 1055
3765, -4650, 1086
3785, -10066, 1375
3806, 21794, 1700
3827, 20604, 1496
3848, -27180, 1067
3869, 9386, 861
3890, 2120, 881
3911, -17702, 1125
3932, 6227, 1257
3953, 17271, 1193
3974, 21867, 1086
3994, 25580, 1070
4015, 24418, 1028
4036, 11514, 964
4057, 476, 882
4078, -9862, 807
4099, -16921, 760
4120, -2901, 746
4141, 14152, 762
4162, 15586, 780
4183, 28710, 821
4204, -11655, 862
4224, -32440, 960
4245, 3240, 1076
4266, -3306, 1190
4287, -25237, 1301
4308, 23087, 1356
4329, 30072, 1356
4350, -29073, 1502
4371, -24911, 1561
4392, 11153, 1309
4413, 32072, 1064
4433, 10972, 974
4454, 3291, 904
4475, 14673, 970
4496, 12220, 1176
4517, -29657, 1268
4538, 2764, 1212
4559, 19263, 1127
4580, -28633, 1063
4642, 577, 794
4663, 18443, 763
4684, 26096, 746
4705, -26044, 736
4726, 32713, 731
4747, 29375, 737
4768, -19090, 742
4788, -7010, 757
4809, 21628, 805
4830, -13791, 894
4851, -15683, 1017
4872, -12253, 1120
4893, -28086, 1219
4913, -22917, 1538
4934, 29095, 1739
4955, -28201, 1396
4976, -8835, 1099
4997, 25508, 961
5018, 469, 914
5039, 6077, 1091
5060, -16653, 1225
5081, -141, 1138
5164, 4210, 877
5185, -3985, 814
5206, -19536, 766
5227, 15739, 768
5248, 26544, 804
5269, -22583, 824
5290, 23951, 810
5311, 3754, 834
5332, 3937, 845
5352, 32685, 922
5373, -13613, 1063
5394, 13189, 1162
5415, -2752, 1251
5436, 31457, 1259
5457, 30544, 1424
5478, 14083, 1631
5499, -25098, 1440
5520, -11065, 1169
5541, -8761, 1035
5562, 27522, 980
5582, 18948, 1293
5603, 30934, 1282
5624, -28444, 1203
5645, 26703, 1135
5666, 31706, 1051
5729, -15410, 786
5750, -12243, 751
5771, 29897, 748
5791, 31483, 723
5812, -31092, 722
5833, 15528, 735
5854, 15026, 769
5875, -23354, 812
5896, 16190, 846
5917, -16980, 876
5937, 8934, 939
5958, 5671, 1033
5979, 30778, 1064
6000, -7199, 1103
6021, -14929, 1357
6042, 4784, 1432
6063, 15186, 1035
6084, -23537, 1074
6105, 313, 1015
6125, 5419, 1098
6146, -20929, 1247
6167, 9166, 1179
6188, -18154, 1085
6209, -13398, 1067
6230, 19023, 1115
6272, 7430, 922
6293, 10773, 854
6313, 9545, 790
6334, -2511, 790
6355, 18950, 841
6376, -3597, 896
6397, -18072, 910
6418, 2756, 927
6439, -10067, 955
6459, 14692, 968
6480, -15741, 1009
6501, -32060, 1112
6522, -7825, 1186
6543, -30068, 1182
6564, 24887, 1187
6585, 24622, 1469
6606, 2902, 1597
6626, 7438, 1366
6689, 3457, 1021
6710, -20241, 1081
6731, 24599, 1189
6752, -30738, 1155
6773, 26755, 1145
6794, 21842, 1135
6815, 4191, 1098
6961, 16523, 869
6982, -19313, 828
7003, -17108, 761
7024, -28034, 749
7045, -9781, 767
7065, 13954, 804
7086, 32743, 857
7107, -5543, 904
7128, 14525, 929
7149, -664, 921
7170, 26497, 930
7191, 15886, 1237
7212, -9428, 1634
7233, -1460, 1606
7253, 4187, 1299
7274, 10888, 1195
7295, 18357, 1153
7316, -1532, 1072
7337, -11852, 1149
7358, -9069, 1265
7379, 27245, 1279
7400, 11704, 1231
7630, 4411, 887
7651, -17645, 876
7672, 25841, 880
7693, -21473, 927
7713, -13611, 1016
7734, 1632, 1069
7755, 10647, 1022
7776, 12398, 1023
7797, -29622, 969
7818, 21846, 941
7839, -484, 1005
7860, -15271, 1206
7881, -11563, 1457
7902, 15889, 1500
7923, -27678, 770
7944, -15644, 696
7965, 21792, 970
7985, 32111, 1318
8006, -27630, 1424
8027, -7181, 1264
8360, -27334, 903
8381, 21942, 918
8402, 13638, 915
8423, -26121, 912
8444, -1921, 941
8465, -14595, 967
8486, -12982, 971
8507, 24222, 986
8528, -32061, 1013
8549, 21004, 1068
8570, 22159, 1147
8591, -5743, 1235
8611, 10688, 1261
8632, -28437, 1201
8653, -26025, 1310
8674, 27420, 1676
