677, 11234, 296
697, -24961, 660
718, 33086, 1199
739, 36356, 1403
759, -17743, 1312
780, -19959, 1119
800, -20701, 1166
821, 1498, 1399
841, 21778, 1527
862, 6087, 1475
1026, 20609, 1333
1047, 33688, 1386
1067, 2316, 1275
1088, -16152, 1161
1108, -18646, 1086
1129, -25274, 1091
1150, 18947, 1166
1170, -5893, 1263
1191, 31970, 1267
1211, -16753, 1178
1232, 25156, 1108
1252, -4742, 1064
1355, -7648, 810
1376, 18507, 759
1396, -18864, 743
1417, 23127, 734
1437, -9285, 735
1458, 7485, 767
1479, -18636, 820
1499, -29689, 862
1520, 2875, 886
1541, 11795, 915
1561, -19784, 975
1582, -8264, 1079
1602, 7134, 1226
1623, -21390, 1477
1644, 31102, 1659
1664, 4891, 1493
1685, -2249, 1246
1706, -15403, 1074
1726, -230, 914
1747, -10981, 966
1768, 34182, 1089
1788, -10233, 1057
1871, -30821, 869
1892, 29524, 826
1912, 16078, 790
1933, 32193, 719
1954, -23405, 696
1974, 19464, 726
1995, 14296, 765
2016, -30098, 811
2036, 28056, 877
2057, 2938, 939
2078, -34627, 996
2099, -33199, 1102
2119, 29633, 1252
2140, -13804, 1368
2161, -7253, 1381
2182, -11282, 1533
2202, 5208, 1438
2223, -33980, 1218
2243, 382, 1058
2264, 26404, 1020
2285, 302, 1145
2305, 21477, 1238
2326, -11793, 1120
2347, 16827, 966
2388, -2655, 912
2409, 272, 893
2430, -7645, 797
2451, 10628, 725
2472, 11208, 676
2493, -5883, 656
2513, 27213, 681
2534, 13465, 728
2555, 16539, 788
2576, -21477, 851
2596, -29340, 913
2617, -5038, 975
2638, -29066, 1080
2658, 7449, 1214
2679, -27310, 1264
2700, 23655, 1259
2721, 30601, 1504
2742, 6300, 1606
2763, -4156, 944
2784, 17694, 798
2805, -27596, 840
2826, -5251, 1044
2846, -15477, 1159
2867, -25914, 1136
2888, 21912, 1098
2909, 5159, 1041
2930, 4152, 960
2951, -26464, 871
2972, 33168, 773
2993, -29365, 714
3013, -13881, 732
3034, 7143, 764
3055, 33255, 790
3076, 7900, 844
3097, 23689, 874
3118, -6411, 873
3138, -18416, 932
3159, -13673, 1064
3180, -4660, 1195
3201, 9181, 1301
3222, -15260, 1318
3243, 16087, 1630
3263, -2049, 1596
3284, 11225, 1269
3305, -28812, 1021
3326, 5126, 948
3347, 30995, 1087
3368, 26654, 1253
3389, -19198, 1253
3410, -10084, 1126
3430, -12820, 1048
3514, 5358, 803
3535, 8216, 764
3556, 2077, 753
3577, 23987, 741
3598, -25469, 722
3618, -36325, 750
3639, 5405, 830
3660, 1129, 878
3681, 8332, 887
3702, -15389, 895
3723, 18633, 999
3744, 13412, 1055
3765, -9313, 1086
3785, -15270, 1375
3806, 17715, 1700
3827, 17348, 1496
3848, -31710, 1067
3869, 5886, 861
3890, -1292, 881
3911, -23715, 1125
3932, 320, 1257
3953, 13230, 1193
3974, 17972, 1086
3994, 22356, 1070
4015, 21670, 1028
4036, 8223, 964
4057, -3735, 882
4078, -13551, 807
4099, -20322, 760
4120, -5389, 746
4141, 11870, 762
4162, 11944, 780
4183, 25780, 821
4204, -16544, 862
4224, -39207, 960
4245, -876, 1076
4266, -7127, 1190
4287, -29774, 1301
4308, 22347, 1356
4329, 30473, 1356
4350, -31118, 1502
4371, -27751, 1561
4392, 10247, 1309
4413, 30103, 1064
4433, 7026, 974
4454, 292, 904
4475, 12932, 970
4496, 10651, 1176
4517, -32697, 1268
4538, 303, 1212
4559, 17987, 1127
4580, -30765, 1063
4642, -559, 794
4663, 17746, 763
4684, 27840, 746
4705, -26979, 736
4726, 32085, 731
4747, 29020, 737
4768, -20277, 742
4788, -6726, 757
4809, 23099, 805
4830, -13244, 894
4851, -14606, 1017
4872, -11423, 1120
4893, -28323, 1219
4913, -23233, 1538
4934, 30481, 1739
4955, -29802, 1396
4976, -9175, 1099
4997, 27260, 961
5018, -881, 914
5039, 6650, 1091
5060, -16321, 1225
5081, 196, 1138
5164, 3283, 877
5185, -5544, 814
5206, -22704, 766
5227, 14226, 768
5248, 25387, 804
5269, -26275, 824
5290, 20114, 810
5311, -454, 834
5332, -2455, 845
5352, 28083, 922
5373, -19973, 1063
5394, 6664, 1162
5415, -9071, 1251
5436, 26241, 1259
5457, 24182, 1424
5478, 6101, 1631
5499, -33526, 1440
5520, -20272, 1169
5541, -17856, 1035
5562, 21617, 980
5582, 11290, 1293
5603, 25236, 1282
5624, -36532, 1203
5645, 20592, 1135
5666, 25851, 1051
5729, -23247, 786
5750, -18921, 751
5771, 24500, 748
5791, 26747, 723
5812, -36142, 722
5833, 12714, 735
5854, 11063, 769
5875, -28372, 812
5896, 11972, 846
5917, -20734, 876
5937, 7337, 939
5958, 4394, 1033
5979, 29102, 1064
6000, -9690, 1103
6021, -16886, 1357
6042, 3078, 1432
6063, 12710, 1035
6084, -26205, 1074
6105, 362, 1015
6125, 4404, 1098
6146, -21971, 1247
6167, 9250, 1179
6188, -19363, 1085
6209, -12644, 1067
6230, 20638, 1115
6272, 10060, 922
6293, 12815, 854
6313, 11770, 790
6334, -1106, 790
6355, 20321, 841
6376, -3011, 896
6397, -16710, 910
6418, 3105, 927
6439, -9042, 955
6459, 15843, 968
6480, -17300, 1009
6501, -34039, 1112
6522, -10191, 1186
6543, -33039, 1182
6564, 25289, 1187
6585, 26328, 1469
6606, 4564, 1597
6626, 9105, 1366
6689, 3671, 1021
6710, -19997, 1081
6731, 25832, 1189
6752, -32198, 1155
6773, 26544, 1145
6794, 20488, 1135
6815, 3076, 1098
6961, 15336, 869
6982, -23169, 828
7003, -21575, 761
7024, -34699, 749
7045, -14792, 767
7065, 11172, 804
7086, 31100, 857
7107, -9336, 904
7128, 11169, 929
7149, -5495, 921
7170, 24236, 930
