1582, -8264, 1079, 9, 330, 1.500000
2078, -34627, 996, 4, 352, 1.500000
2763, -4156, 944, 4, 375, 1.500000
3118, -6411, 873, 4, 355, 1.500000
3598, -25469, 722, 4, 335, 1.500000
4224, -39207, 960, 4, 334, 1.500000
4580, -30765, 1063, 9, 335, 1.500000
4976, -9175, 1099, 9, 334, 1.500000
5729, -23247, 786, 4, 418, 1.500000
6334, -1106, 790, 4, 334, 1.500000
6710, -19997, 1081, 9, 376, 1.500000
7045, -14792, 767, 4, 335, 1.500000
7651, -19634, 876, 4, 418, 1.500000
8360, -26274, 903, 4, 333, 1.500000
9048, -167, 812, 4, 332, 1.500000
9383, 21588, 1125, 9, 335, 1.500000
9819, -10243, 1047, 9, 332, 1.500000
10216, 28067, 853, 4, 334, 0.500000
10802, -530, 776, 4, 356, 1.500000
11178, -13864, 1144, 9, 355, 1.500000
11742, 23474, 1232, 9, 334, 0.500000
12452, 29007, 784, 4, 334, 1.500000
13183, 8839, 1033, 9, 334, 0.500000
13580, -2945, 884, 4, 356, 1.500000
13914, 19325, 1089, 9, 334, 0.500000
14394, -28861, 908, 4, 354, 1.500000
14833, -11779, 909, 4, 335, 1.500000
1787, -19790, 914, 4, 330, 1.500000
2343, -34248, 1134, 9, 371, 1.500000
2759, -23653, 1412, 9, 333, 1.500000
3321, -25535, 1524, 12, 333, 1.500000
3780, -36247, 1195, 9, 396, 1.500000
4490, -30544, 1296, 9, 355, 1.500000
4865, -23795, 1180, 9, 334, 1.500000
5220, -1099, 820, 4, 334, 1.500000
5700, -32476, 899, 4, 438, 1.500000
6429, -6904, 984, 4, 333, 1.500000
6951, -26233, 858, 4, 417, 1.500000
7639, -27508, 961, 4, 647, 1.500000
8348, -43, 1023, 9, 542, 1.500000
8680, 8629, 849, 4, 332, 0.500000
9532, -27217, 809, 4, 353, 1.500000
9906, -37974, 899, 4, 333, 1.500000
10428, -34842, 1297, 9, 333, 1.500000
10804, 2917, 751, 4, 334, 1.500000
11222, -19797, 878, 4, 334, 1.500000
12015, -33112, 1088, 9, 333, 1.500000
12371, 30395, 884, 4, 335, 0.500000
12892, 4080, 1002, 9, 376, 0.500000
13832, -9835, 1221, 9, 334, 1.500000
14165, -17545, 873, 4, 333, 1.500000
14520, 27357, 926, 4, 334, 0.500000
